
============================================================
GALAXY PARLAY - DATABASE POPULATION
============================================================

[1/3] Fetching historical fixtures (2023-2025)...
This will take 5-10 minutes...
2026-01-30 15:26:09 [info     ] Starting historical data population
2026-01-30 15:26:21 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:21 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 536, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:21 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:21 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 538, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:22 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:22 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 539, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:22 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:22 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 540, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:22 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:22 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 541, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:22 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:23 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 542, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:23 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:23 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 797, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:23 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:23 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 798, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:23 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:24 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 543, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:24 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:24 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 546, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:24 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:24 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 547, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:25 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:25 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 548, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:25 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:25 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 718, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:25 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:26 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 727, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:26 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:26 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 728, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:26 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:26 [info     ] Team stats stored              count=20 league=La Liga season=2025
2026-01-30 15:26:26 [info     ] Fetching fixtures              league=Bundesliga season=2025 status=FT
2026-01-30 15:26:26 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 78, 'season': 2025, 'status': 'FT'} results=170
2026-01-30 15:26:26 [info     ] fixtures_upserted              count=170
2026-01-30 15:26:26 [info     ] Fixtures stored                count=170 league=Bundesliga season=2025
2026-01-30 15:26:26 [info     ] Fetching team stats            league=Bundesliga season=2025
2026-01-30 15:26:26 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 78, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:27 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 160, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:27 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:27 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 161, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:27 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:27 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 162, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:28 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:28 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 192, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:28 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:28 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 164, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:28 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:29 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 165, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:29 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:29 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 163, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:29 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:29 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 167, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:29 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:29 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 168, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:30 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:30 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 169, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:30 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:30 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 170, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:30 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:30 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 172, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:30 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:31 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 173, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:31 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:31 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 175, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:31 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:31 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 180, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:31 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:32 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 182, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:32 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:32 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 186, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:32 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:32 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 157, 'league': 78, 'season': 2025} results=11
2026-01-30 15:26:33 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:33 [info     ] Team stats stored              count=18 league=Bundesliga season=2025
2026-01-30 15:26:33 [info     ] Fetching fixtures              league=Serie A season=2025 status=FT
2026-01-30 15:26:33 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 135, 'season': 2025, 'status': 'FT'} results=220
2026-01-30 15:26:34 [info     ] fixtures_upserted              count=220
2026-01-30 15:26:34 [info     ] Fixtures stored                count=220 league=Serie A season=2025
2026-01-30 15:26:34 [info     ] Fetching team stats            league=Serie A season=2025
